date,air_temp,air_temp_avg,wind_speed_10ft,wind_dir_10ft
2016.883301,-2.46,-2.47,3.13,272.50
2016.88332,-2.45,-2.49,4.11,340.60
2016.883339,-2.42,-2.50,3.61,307.30
2016.883358,-2.37,-2.39,3.92,270.40
2016.883377,-2.44,-2.33,6.20,324.50
2016.883396,-2.12,-2.19,5.50,301.60
2016.883415,-2.46,-2.29,5.02,302.50
2016.883434,-2.29,-2.38,1.48,280.70
2016.883453,-2.07,-2.10,4.25,20.42
2016.883472,-2.00,-1.99,3.14,302.00
2016.883491,-1.79,-1.87,2.39,265.60
2016.88351,-1.69,-1.73,6.60,327.60
2016.883529,-1.80,-1.75,4.32,320.40
2016.883548,-1.83,-1.82,3.99,291.60
2016.883567,-1.75,-1.71,4.92,313.00
2016.883586,-1.72,-1.74,5.27,325.00
2016.883605,-1.69,-1.76,5.62,337.00
2016.883624,-1.38,-1.51,2.41,273.20
2016.883643,-1.31,-1.40,4.28,287.30
2016.883662,-1.37,-1.31,1.96,13.44
2016.883681,-1.41,-1.43,3.19,298.50
2016.8837,-1.45,-1.39,5.17,283.80
2016.883719,-1.36,-1.42,4.92,344.50
2016.883737,-1.50,-1.54,4.80,315.30
2016.883756,-1.48,-1.46,3.48,327.30
2016.883775,-1.57,-1.48,3.96,289.30
2016.883794,-1.66,-1.71,4.81,344.50
2016.883813,-1.84,-1.70,4.27,291.30
2016.883832,-1.92,-1.92,4.32,263.20
2016.883908,-1.89,-1.87,4.80,275.45
2016.88387,-1.86,-1.83,5.28,287.70
2016.883889,-1.38,-1.71,5.93,304.80
2016.883908,-1.30,-1.19,2.72,282.10
2016.883927,-1.25,-1.18,3.99,339.80
2016.883946,-0.85,-1.02,2.22,286.40
2016.883965,-0.72,-0.80,5.12,0.01
2016.883984,-0.91,-0.89,-9999.00,340.70
2016.884003,-1.20,-1.02,3.98,297.30
2016.884022,-1.24,-1.16,4.39,301.20
2016.884041,-1.29,-1.33,3.17,299.90
2016.88406,-1.40,-1.41,3.43,297.80
2016.884079,-1.62,-1.58,4.95,304.00
2016.884098,-1.33,-1.48,3.47,299.10
2016.884117,-1.27,-1.36,3.80,276.50
2016.884136,-1.30,-1.30,4.03,316.80
2016.884155,-1.24,-1.22,3.46,299.70
2016.884174,-1.12,-1.18,5.88,295.90
2016.88425,-0.90,-1.00,5.27,295.30
2016.884212,-0.67,-0.82,4.67,294.70
2016.884231,-0.39,-0.54,4.12,295.30
2016.88425,-0.17,-0.24,4.60,288.20
2016.884269,0.02,-0.03,4.61,295.40
2016.884288,0.39,0.21,7.37,298.90
2016.884307,0.73,0.56,2.56,326.90
2016.884326,0.97,0.81,5.31,326.00
2016.884345,1.19,1.06,2.78,276.00
2016.884364,1.43,1.32,3.40,302.30
2016.884383,1.68,1.53,3.28,305.60
2016.884402,1.86,1.76,4.85,300.10
2016.884421,2.04,1.99,6.42,294.60
2016.88444,2.18,2.10,3.87,299.00
2016.884458,2.46,2.34,3.98,283.50
2016.884477,2.34,2.39,7.34,337.10
2016.884496,2.49,2.43,3.99,317.80
2016.884515,2.66,2.54,4.55,307.50
2016.884534,2.69,2.63,3.91,306.80
2016.884553,2.87,2.84,-9999.00,257.90
2016.884572,3.08,3.05,4.36,336.10
2016.884591,3.09,3.13,6.13,301.60
2016.88461,3.24,3.15,4.16,305.80
2016.884629,3.39,3.30,5.51,286.00
2016.884648,3.44,3.37,3.57,269.50
2016.884667,3.59,3.51,4.18,285.70
2016.884686,3.55,3.57,5.19,177.20
